sep=,
"Time","sinus_out"
s,-
 6.3000000000000E+00, 4.8022619411509E-12
 6.3500000000000E+00,-1.0000000000000E+01
 6.4000000000000E+00,-4.9100679983141E-12
 6.4500000000000E+00, 1.0000000000000E+01
 6.5000000000000E+00, 5.0178740554773E-12
 6.5500000000000E+00,-1.0000000000000E+01
 6.6000000000000E+00,-5.1256801126404E-12
 6.6500000000000E+00, 1.0000000000000E+01
 6.7000000000000E+00, 5.2334861698036E-12
 6.7500000000000E+00,-1.0000000000000E+01
 6.8000000000000E+00,-5.3412922269668E-12
 6.8500000000000E+00, 1.0000000000000E+01
 6.9000000000000E+00, 5.4490982841299E-12
 6.9500000000000E+00,-1.0000000000000E+01
 7.0000000000000E+00,-5.5569043412931E-12
 7.0500000000000E+00, 1.0000000000000E+01
 7.1000000000000E+00, 5.6647103984562E-12
 7.1500000000000E+00,-1.0000000000000E+01
 7.2000000000000E+00,-5.7725164556194E-12
 7.2500000000000E+00, 1.0000000000000E+01
 7.3000000000000E+00, 5.8803225127826E-12
 7.3500000000000E+00,-1.0000000000000E+01
 7.4000000000000E+00,-5.9881285699457E-12
 7.4500000000000E+00, 1.0000000000000E+01
 7.5000000000000E+00, 6.0959346271089E-12
 7.5500000000000E+00,-1.0000000000000E+01
 7.6000000000000E+00,-6.2037406842721E-12
 7.6500000000000E+00, 1.0000000000000E+01
 7.7000000000000E+00, 6.5957638357393E-12
 7.7500000000000E+00,-1.0000000000000E+01
 7.8000000000000E+00,-6.7035698929024E-12
 7.8500000000000E+00, 1.0000000000000E+01
 7.9000000000000E+00, 6.8113759500656E-12
 7.9500000000000E+00,-1.0000000000000E+01
 8.0000000000000E+00,-6.9191820072287E-12
 8.0500000000000E+00, 1.0000000000000E+01
 8.1000000000000E+00, 4.1848171213515E-12
 8.1500000000000E+00,-1.0000000000000E+01
 8.2000000000000E+00,-3.7241889899066E-12
 8.2500000000000E+00, 1.0000000000000E+01
 8.3000000000000E+00, 3.2635608584617E-12
 8.3500000000000E+00,-1.0000000000000E+01
 8.4000000000000E+00,-2.8029327270168E-12
 8.4500000000000E+00, 1.0000000000000E+01
 8.5000000000000E+00, 2.3423045955718E-12
 8.5500000000000E+00,-1.0000000000000E+01
 8.6000000000000E+00,-1.8816764641269E-12
 8.6500000000000E+00, 1.0000000000000E+01
 8.7000000000000E+00, 1.4210483326820E-12
 8.7500000000000E+00,-1.0000000000000E+01
 8.8000000000000E+00,-9.6042020123709E-13
 8.8500000000000E+00, 1.0000000000000E+01
 8.9000000000000E+00, 4.9979206979217E-13
 8.9500000000000E+00,-1.0000000000000E+01
 9.0000000000000E+00,-3.9163938347252E-14
 9.0500000000000E+00, 1.0000000000000E+01
 9.1000000000000E+00,-4.2146419309767E-13
 9.1500000000000E+00,-1.0000000000000E+01
 9.2000000000000E+00, 8.8209232454258E-13
 9.2500000000000E+00, 1.0000000000000E+01
 9.3000000000000E+00,-1.3427204559875E-12
 9.3500000000000E+00,-1.0000000000000E+01
 9.4000000000000E+00, 1.8033485874324E-12
 9.4500000000000E+00, 1.0000000000000E+01
 9.5000000000000E+00,-2.2639767188773E-12
 9.5500000000000E+00,-1.0000000000000E+01
 9.6000000000000E+00, 2.7246048503223E-12
 9.6500000000000E+00, 1.0000000000000E+01
 9.7000000000000E+00,-3.1852329817672E-12
 9.7500000000000E+00,-1.0000000000000E+01
 9.8000000000000E+00, 3.6458611132121E-12
 9.8500000000000E+00, 1.0000000000000E+01
 9.9000000000000E+00,-4.1064892446570E-12
 9.9500000000000E+00,-1.0000000000000E+01
 1.0000000000000E+01, 4.5671173761019E-12
